profile_id,planned_observations,observation_count,observation_coverage_rate,coverage_status,remediated_observation_count,stability_n,stability_coverage_rate,stability_coverage_status,stability_mean,stability_median,stability_stdev,stability_min,stability_max,coherence_n,coherence_coverage_rate,coherence_coverage_status,coherence_mean,coherence_median,coherence_stdev,coherence_min,coherence_max,factual_hallucination_signal_n,factual_hallucination_signal_coverage_rate,factual_hallucination_signal_coverage_status,factual_hallucination_signal_mean,factual_hallucination_signal_median,factual_hallucination_signal_stdev,factual_hallucination_signal_min,factual_hallucination_signal_max,semantic_instability_n,semantic_instability_coverage_rate,semantic_instability_coverage_status,semantic_instability_mean,semantic_instability_median,semantic_instability_stdev,semantic_instability_min,semantic_instability_max,delta_g_n,delta_g_coverage_rate,delta_g_coverage_status,delta_g_mean,delta_g_median,delta_g_stdev,delta_g_min,delta_g_max,ALLOW_count,ALLOW_rate,FLAG_count,FLAG_rate,ERROR_count,ERROR_rate,dominant_decision,inter_run_variability_score,inter_run_questions_scored,inter_run_variability_coverage_rate,inter_run_variability_status,latency_n,latency_coverage_rate,latency_coverage_status,latency_band
PROFILE-161CC5,1200,1200,1.0,complete,0,1200,1.0,complete,0.8191,0.813,0.0495,0.5932,0.9231,1200,1.0,complete,0.7883,0.8193,0.0931,0.6537,1.0,1200,1.0,complete,0.0203,0.0,0.1,0.0,0.8,1200,1.0,complete,0.0018,0.0,0.035,0.0,0.7,1200,1.0,complete,0.0049,0.0001,0.0367,-0.1683,0.1943,1168,0.9733,32,0.0267,0,0.0,ALLOW,0.0074,4,1.0,complete,1200,1.0,complete,6_to_10s
PROFILE-212079,1200,1200,1.0,complete,0,1200,1.0,complete,0.8132,0.8194,0.0478,0.6915,0.9231,1200,1.0,complete,0.7634,0.7786,0.1024,0.5992,1.0,1200,1.0,complete,0.0022,0.0,0.0239,0.0,0.5,1200,1.0,complete,0.0041,0.0,0.0533,0.0,0.7,1200,1.0,complete,-0.0019,-0.0048,0.0334,-0.0948,0.1882,1199,0.9992,1,0.0008,0,0.0,ALLOW,0.0056,4,1.0,complete,1200,1.0,complete,3_to_6s
PROFILE-486F91,1200,1200,1.0,complete,0,1200,1.0,complete,0.8115,0.8198,0.0673,0.4832,0.9231,1200,1.0,complete,0.7854,0.7933,0.095,0.5803,1.0,1200,1.0,complete,0.0407,0.0,0.1574,0.0,0.8,1200,1.0,complete,0.0006,0.0,0.0202,0.0,0.7,1200,1.0,complete,-0.0003,0.0,0.0444,-0.1894,0.2147,1143,0.9525,57,0.0475,0,0.0,ALLOW,0.0064,4,1.0,complete,1200,1.0,complete,3_to_6s
PROFILE-48C581,1200,1200,1.0,complete,0,1194,0.995,partial,0.8191,0.8249,0.0495,0.5566,0.9231,1194,0.995,partial,0.7837,0.7902,0.0905,0.6002,1.0,1194,0.995,partial,0.0134,0.0,0.0862,0.0,0.8,1194,0.995,partial,0.0029,0.0,0.0452,0.0,0.7,1194,0.995,partial,0.0034,0.0,0.0365,-0.1909,0.1833,1166,0.9717,28,0.0233,6,0.005,ALLOW,0.0131,4,1.0,complete,1194,0.995,partial,over_10s
PROFILE-59664C,1200,1200,1.0,remediated_complete,76,1200,1.0,complete,0.8274,0.817,0.0515,0.521,0.9231,1200,1.0,complete,0.8037,0.7742,0.0961,0.6273,1.0,1200,1.0,complete,0.0165,0.0,0.093,0.0,0.8,1200,1.0,complete,0.0303,0.0,0.1426,0.0,0.7,1200,1.0,complete,0.0037,0.0,0.0333,-0.1866,0.1934,1179,0.9825,21,0.0175,0,0.0,ALLOW,0.0164,4,1.0,complete,1200,1.0,complete,over_10s
PROFILE-5A5C60,1200,1200,1.0,complete,0,1200,1.0,complete,0.8196,0.8155,0.0568,0.5391,0.9231,1200,1.0,complete,0.7976,0.7859,0.0941,0.6167,1.0,1200,1.0,complete,0.0328,0.0,0.1354,0.0,0.8,1200,1.0,complete,0.0146,0.0,0.1,0.0,0.7,1200,1.0,complete,0.0033,0.0022,0.04,-0.2114,0.246,1147,0.9558,53,0.0442,0,0.0,ALLOW,0.0065,4,1.0,complete,1200,1.0,complete,6_to_10s
PROFILE-5B3BB7,1200,1200,1.0,complete,0,1200,1.0,complete,0.8173,0.8037,0.062,0.2952,0.9231,1200,1.0,complete,0.7952,0.8048,0.0878,0.6612,1.0,1200,1.0,complete,0.0297,0.0,0.1104,0.0,0.8,1200,1.0,complete,0.0064,0.0,0.0667,0.0,0.7,1200,1.0,complete,0.0017,0.003,0.0405,-0.3424,0.1761,1155,0.9625,45,0.0375,0,0.0,ALLOW,0.0046,4,1.0,complete,1200,1.0,complete,3_to_6s
PROFILE-638E26,1200,1200,1.0,complete,0,1200,1.0,complete,0.8197,0.8214,0.0536,0.5613,0.9231,1200,1.0,complete,0.7917,0.8014,0.0957,0.6199,1.0,1200,1.0,complete,0.0235,0.0,0.1108,0.0,1.0,1200,1.0,complete,0.0723,0.0,0.2132,0.0,0.7,1200,1.0,complete,0.0022,0.0,0.0378,-0.167,0.33,1158,0.965,42,0.035,0,0.0,ALLOW,0.0048,4,1.0,complete,1200,1.0,complete,3_to_6s
PROFILE-739F7C,1200,1200,1.0,complete,0,1197,0.9975,partial,0.8202,0.8316,0.0442,0.6552,0.9231,1197,0.9975,partial,0.7782,0.8021,0.0939,0.5613,1.0,1197,0.9975,partial,0.0018,0.0,0.0321,0.0,0.6,1197,0.9975,partial,0.0023,0.0,0.0404,0.0,0.7,1196,0.9967,partial,-0.0006,0.0,0.0318,-0.1216,0.1708,1193,0.9942,4,0.0033,3,0.0025,ALLOW,0.0102,4,1.0,complete,1197,0.9975,partial,3_to_6s
PROFILE-B912EA,1200,1200,1.0,complete,0,1200,1.0,complete,0.8005,0.786,0.0632,0.548,0.9231,1200,1.0,complete,0.7612,0.7502,0.1071,0.533,1.0,1200,1.0,complete,0.0401,0.0,0.1491,0.0,1.0,1200,1.0,complete,0.007,0.0,0.0697,0.0,0.7,1200,1.0,complete,-0.0115,-0.0073,0.0397,-0.1977,0.1596,1129,0.9408,71,0.0592,0,0.0,ALLOW,0.0073,4,1.0,complete,1200,1.0,complete,3_to_6s
