profile_id,question_id,planned_observations,observation_count,observation_coverage_rate,coverage_status,remediated_observation_count,stability_n,stability_coverage_rate,stability_coverage_status,stability_mean,stability_median,stability_stdev,stability_min,stability_max,coherence_n,coherence_coverage_rate,coherence_coverage_status,coherence_mean,coherence_median,coherence_stdev,coherence_min,coherence_max,factual_hallucination_signal_n,factual_hallucination_signal_coverage_rate,factual_hallucination_signal_coverage_status,factual_hallucination_signal_mean,factual_hallucination_signal_median,factual_hallucination_signal_stdev,factual_hallucination_signal_min,factual_hallucination_signal_max,semantic_instability_n,semantic_instability_coverage_rate,semantic_instability_coverage_status,semantic_instability_mean,semantic_instability_median,semantic_instability_stdev,semantic_instability_min,semantic_instability_max,delta_g_n,delta_g_coverage_rate,delta_g_coverage_status,delta_g_mean,delta_g_median,delta_g_stdev,delta_g_min,delta_g_max,ALLOW_count,ALLOW_rate,FLAG_count,FLAG_rate,ERROR_count,ERROR_rate,dominant_decision,latency_n,latency_coverage_rate,latency_coverage_status,latency_band
PROFILE-161CC5,NM-WEEKLY-Q01,300,300,1.0,complete,0,300,1.0,complete,0.858,0.8537,0.0222,0.8335,0.9231,300,1.0,complete,0.8589,0.8496,0.0481,0.806,1.0,300,1.0,complete,0.0,0.0,0.0,0.0,0.0,300,1.0,complete,0.0,0.0,0.0,0.0,0.0,300,1.0,complete,0.0152,0.0068,0.0282,-0.019,0.1835,300,1.0,0,0.0,0,0.0,ALLOW,300,1.0,complete,6_to_10s
PROFILE-161CC5,NM-WEEKLY-Q02,300,300,1.0,complete,0,300,1.0,complete,0.7786,0.7745,0.0243,0.7632,0.9231,300,1.0,complete,0.687,0.6781,0.0528,0.6537,1.0,300,1.0,complete,0.0,0.0,0.0,0.0,0.0,300,1.0,complete,0.0,0.0,0.0,0.0,0.0,300,1.0,complete,-0.01,-0.0075,0.032,-0.066,0.1348,300,1.0,0,0.0,0,0.0,ALLOW,300,1.0,complete,6_to_10s
PROFILE-161CC5,NM-WEEKLY-Q03,300,300,1.0,complete,0,300,1.0,complete,0.8313,0.8449,0.0642,0.5932,0.9231,300,1.0,complete,0.8539,0.8335,0.0588,0.8064,1.0,300,1.0,complete,0.0793,0.0,0.1871,0.0,0.8,300,1.0,complete,0.0,0.0,0.0,0.0,0.0,300,1.0,complete,0.0061,0.0018,0.0506,-0.1683,0.1943,268,0.8933,32,0.1067,0,0.0,ALLOW,300,1.0,complete,6_to_10s
PROFILE-161CC5,NM-WEEKLY-Q04,300,300,1.0,complete,0,300,1.0,complete,0.8086,0.7984,0.0343,0.7456,0.9231,300,1.0,complete,0.7534,0.7304,0.0732,0.7046,1.0,300,1.0,complete,0.002,0.0,0.0199,0.0,0.2,300,1.0,complete,0.007,0.0,0.0698,0.0,0.7,300,1.0,complete,0.0085,0.0046,0.026,-0.0493,0.1811,300,1.0,0,0.0,0,0.0,ALLOW,300,1.0,complete,6_to_10s
PROFILE-212079,NM-WEEKLY-Q01,300,300,1.0,complete,0,300,1.0,complete,0.844,0.8348,0.029,0.8122,0.9231,300,1.0,complete,0.8286,0.8088,0.0629,0.7597,1.0,300,1.0,complete,0.0,0.0,0.0,0.0,0.0,300,1.0,complete,0.0,0.0,0.0,0.0,0.0,300,1.0,complete,-0.0061,-0.0085,0.0175,-0.0373,0.0916,300,1.0,0,0.0,0,0.0,ALLOW,300,1.0,complete,3_to_6s
PROFILE-212079,NM-WEEKLY-Q02,300,300,1.0,complete,0,300,1.0,complete,0.7754,0.7725,0.022,0.7595,0.9231,300,1.0,complete,0.6801,0.6736,0.0476,0.6455,1.0,300,1.0,complete,0.0,0.0,0.0,0.0,0.0,300,1.0,complete,0.0,0.0,0.0,0.0,0.0,300,1.0,complete,-0.0052,-0.0053,0.0259,-0.0604,0.13,300,1.0,0,0.0,0,0.0,ALLOW,300,1.0,complete,3_to_6s
PROFILE-212079,NM-WEEKLY-Q03,300,300,1.0,complete,0,300,1.0,complete,0.8572,0.8525,0.0253,0.7034,0.9231,300,1.0,complete,0.8609,0.8477,0.0469,0.8097,1.0,300,1.0,complete,0.0057,0.0,0.0401,0.0,0.5,300,1.0,complete,0.0,0.0,0.0,0.0,0.0,300,1.0,complete,0.0203,0.0089,0.0359,-0.0768,0.1882,299,0.9967,1,0.0033,0,0.0,ALLOW,300,1.0,complete,3_to_6s
PROFILE-212079,NM-WEEKLY-Q04,300,300,1.0,complete,0,300,1.0,complete,0.7763,0.7712,0.0387,0.6915,0.9231,300,1.0,complete,0.6841,0.671,0.0811,0.5992,1.0,300,1.0,complete,0.0033,0.0,0.0256,0.0,0.2,300,1.0,complete,0.0163,0.0,0.1058,0.0,0.7,300,1.0,complete,-0.0167,-0.0203,0.0383,-0.0948,0.1504,300,1.0,0,0.0,0,0.0,ALLOW,300,1.0,complete,3_to_6s
PROFILE-486F91,NM-WEEKLY-Q01,300,300,1.0,complete,0,300,1.0,complete,0.8491,0.8443,0.0303,0.5931,0.9231,300,1.0,complete,0.8415,0.8294,0.0574,0.7416,1.0,300,1.0,complete,0.0027,0.0,0.0462,0.0,0.8,300,1.0,complete,0.0,0.0,0.0,0.0,0.0,300,1.0,complete,0.0017,0.0,0.0232,-0.1759,0.1901,299,0.9967,1,0.0033,0,0.0,ALLOW,300,1.0,complete,3_to_6s
PROFILE-486F91,NM-WEEKLY-Q02,300,300,1.0,complete,0,300,1.0,complete,0.7778,0.7763,0.0241,0.7043,0.9231,300,1.0,complete,0.6862,0.6822,0.0508,0.6139,1.0,300,1.0,complete,0.0017,0.0,0.0173,0.0,0.2,300,1.0,complete,0.0,0.0,0.0,0.0,0.0,300,1.0,complete,-0.0073,-0.0043,0.0289,-0.0688,0.1649,300,1.0,0,0.0,0,0.0,ALLOW,300,1.0,complete,6_to_10s
