scope,metric,band_or_category,profile_count,profile_share
profile_summary,stability_position_band,high_panel_band,2,0.166667
profile_summary,stability_position_band,highest_panel_band,2,0.166667
profile_summary,stability_position_band,low_panel_band,2,0.166667
profile_summary,stability_position_band,lowest_panel_band,3,0.25
profile_summary,stability_position_band,mid_panel_band,3,0.25
profile_summary,coherence_position_band,high_panel_band,2,0.166667
profile_summary,coherence_position_band,highest_panel_band,2,0.166667
profile_summary,coherence_position_band,low_panel_band,2,0.166667
profile_summary,coherence_position_band,lowest_panel_band,3,0.25
profile_summary,coherence_position_band,mid_panel_band,3,0.25
profile_summary,semantic_risk_position_band,lowest_panel_band,1,0.083333
profile_summary,semantic_risk_position_band,not_available,11,0.916667
profile_summary,factual_hallucination_position_band,high_panel_band,2,0.166667
profile_summary,factual_hallucination_position_band,highest_panel_band,2,0.166667
profile_summary,factual_hallucination_position_band,low_panel_band,2,0.166667
profile_summary,factual_hallucination_position_band,lowest_panel_band,3,0.25
profile_summary,factual_hallucination_position_band,mid_panel_band,3,0.25
profile_summary,latency_position_band,high_panel_band,2,0.166667
profile_summary,latency_position_band,highest_panel_band,2,0.166667
profile_summary,latency_position_band,low_panel_band,2,0.166667
profile_summary,latency_position_band,lowest_panel_band,3,0.25
profile_summary,latency_position_band,mid_panel_band,3,0.25
profile_summary,stability_inter_wave_variability_band,high_panel_band,2,0.166667
profile_summary,stability_inter_wave_variability_band,highest_panel_band,2,0.166667
profile_summary,stability_inter_wave_variability_band,low_panel_band,2,0.166667
profile_summary,stability_inter_wave_variability_band,lowest_panel_band,3,0.25
profile_summary,stability_inter_wave_variability_band,mid_panel_band,3,0.25
profile_summary,non_allow_decision_position_band,high_panel_band,2,0.166667
profile_summary,non_allow_decision_position_band,highest_panel_band,2,0.166667
profile_summary,non_allow_decision_position_band,low_panel_band,2,0.166667
profile_summary,non_allow_decision_position_band,lowest_panel_band,3,0.25
profile_summary,non_allow_decision_position_band,mid_panel_band,3,0.25
profile_summary,dominant_decision,ALLOW,12,1.0
