profile_id,executions_total,executions_fully_scored,coverage_rate,stability_mean,semantic_variation_rate,flag_rate,error_rate,dominant_regime
PROFILE-161CC5,400,399,0.9975,0.922306,0.002506,0.0025,0.0,NORMAL_SIGNAL
PROFILE-212079,400,396,0.99,0.916084,0.055556,0.0225,0.0,NORMAL_SIGNAL
PROFILE-486F91,400,397,0.9925,0.922999,0.010076,0.0,0.0,NORMAL_SIGNAL
PROFILE-48C581,400,400,1.0,0.923077,0.015,0.0,0.0,NORMAL_SIGNAL
PROFILE-59664C,400,398,0.995,0.922922,0.007538,0.0,0.0,NORMAL_SIGNAL
PROFILE-5B3BB7,400,396,0.99,0.922533,0.012626,0.0,0.0025,NORMAL_SIGNAL
PROFILE-638E26,400,399,0.9975,0.923077,0.012531,0.0,0.0,NORMAL_SIGNAL
PROFILE-739F7C,400,400,1.0,0.923,0.025,0.0,0.0,NORMAL_SIGNAL
PROFILE-B912EA,400,399,0.9975,0.923,0.002506,0.0,0.0,NORMAL_SIGNAL
PROFILE-DEA9C5,400,397,0.9925,0.922999,0.017632,0.0,0.0,NORMAL_SIGNAL
