profile_id,executions_total,executions_fully_scored,coverage_rate,stability_mean,validity_signal_mean,factual_risk_mean,semantic_variation_rate,coherence_mean,flag_rate,error_rate,dominant_regime
PROFILE-161CC5,400,397,0.9925,0.815821,0.989673,0.010327,0.002519,0.774496,0.0075,0.0,NORMAL_SIGNAL
PROFILE-212079,400,397,0.9925,0.809893,0.997985,0.002015,0.075567,0.756111,0.0,0.0,NORMAL_SIGNAL
PROFILE-486F91,400,399,0.9975,0.807458,0.956391,0.043609,0.012531,0.778564,0.05,0.0,NORMAL_SIGNAL
PROFILE-48C581,400,400,1.0,0.817231,1.0,0.0,0.0075,0.770668,0.0,0.0,NORMAL_SIGNAL
PROFILE-59664C,400,391,0.9775,0.807865,0.97289,0.02711,0.01023,0.768447,0.03,0.0,NORMAL_SIGNAL
PROFILE-5A5C60,400,395,0.9875,0.807981,0.946835,0.053165,0.025316,0.786069,0.0675,0.0,NORMAL_SIGNAL
PROFILE-5B3BB7,400,396,0.99,0.812505,0.965909,0.034091,0.012626,0.787449,0.035,0.0,NORMAL_SIGNAL
PROFILE-638E26,400,399,0.9975,0.821463,0.991479,0.008521,0.067669,0.785518,0.0125,0.0,NORMAL_SIGNAL
PROFILE-739F7C,400,400,1.0,0.814394,0.99925,0.00075,0.0225,0.765021,0.0,0.0,NORMAL_SIGNAL
PROFILE-B912EA,400,397,0.9925,0.787057,0.929975,0.070025,0.005038,0.751973,0.0975,0.0,NORMAL_SIGNAL
PROFILE-DEA9C5,400,385,0.9625,0.807812,0.960519,0.039481,0.080519,0.776579,0.04,0.0,NORMAL_SIGNAL
PROFILE-F5FF91,400,398,0.995,0.810957,0.972362,0.027638,0.050251,0.7755,0.035,0.0,NORMAL_SIGNAL
