profile_id,executions_total,executions_fully_scored,coverage_rate,stability_mean,semantic_variation_rate,flag_rate,error_rate,dominant_regime
PROFILE-161CC5,400,398,0.995,0.923077,0.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-212079,400,397,0.9925,0.895175,0.06801,0.09,0.0025,NORMAL_SIGNAL
PROFILE-486F91,400,399,0.9975,0.922306,0.0,0.0025,0.0,NORMAL_SIGNAL
PROFILE-48C581,400,399,0.9975,0.923077,0.010025,0.0,0.0,NORMAL_SIGNAL
PROFILE-59664C,400,398,0.995,0.923,0.002513,0.0,0.0,NORMAL_SIGNAL
PROFILE-5A5C60,400,398,0.995,0.922304,0.007538,0.0025,0.0,NORMAL_SIGNAL
PROFILE-5B3BB7,400,396,0.99,0.922844,0.005051,0.0,0.0,NORMAL_SIGNAL
PROFILE-638E26,400,398,0.995,0.923077,0.047739,0.0,0.0,NORMAL_SIGNAL
PROFILE-739F7C,400,398,0.995,0.923,0.01005,0.0,0.0,NORMAL_SIGNAL
PROFILE-B912EA,400,398,0.995,0.923077,0.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-DEA9C5,400,397,0.9925,0.923077,0.030227,0.0,0.0,NORMAL_SIGNAL
PROFILE-F5FF91,400,398,0.995,0.923077,0.007538,0.0,0.0,NORMAL_SIGNAL
